Titulo,Autor,Ano,ISBN,Edição,Classificação,G.O.A.T,Lido
A Queda ,Albert Camus,,,Pocket,Bom,DÙVIDA,Sim
O Estrangeiro,Albert Camus,,,,,,Não
A Queda da América,Allen Ginsberg,,,Pocket,Médio,DÙVIDA,Sim
O Uivo,Allen Ginsberg,,,Pocket,Bom,SIM,Sim
Laranja Mecânica,Anthony Burgess,,,Brochura,Bom,SIM,Sim
Drácula,Bram Stocker,,,Brochura,Médio,SIM,Sim
Um Conto de Natal,Charles Dickens,,,Pocket,Bom,NÂO,Sim
O Clube da Luta,Chuck Palahniuk,,,Brochura,Médio,NÂO,Sim
A Garota de Cassidy,David Goodis,,,Pocket,Médio,NÂO,Sim
Memórias de Uma Beatnik,Diane Di Prima,,,Brochura,Bom,DÙVIDA,Sim
O Sol Tambem Se Levanta,Ernest Hemingway,,,Capa dura,Bom,DÙVIDA,Sim
O Velho e o Mar,Ernest Hemingway,,,Brochura,Médio,DÙVIDA,Sim
O Grande Gastby,F. Scott Fitzgerald,,,Brochura,Bom,SIM,Sim
O Curioso Caso de Benjamiun Button,F. Scott Fitzgerald,,,Pocket,Bom,DÙVIDA,Sim
Diários do Subsolo,Fiodor Dostoievski,,,Pocket,Médio,NÂO,Sim
Crime e Castigo,Fiodor Dostoievski,,,Capa dura,Bom,SIM,Sim
Noites Brancas ,Fiodor Dostoievski,,,Pocket,Bom,NÂO,Sim
Memoria da Casa dos Mortos,Fiodor Dostoievski,,,Pocket,Ruim,NÂO,Sim
O Sósia,Fiodor Dostoievski,,,Capa dura,Bom,DÙVIDA,Sim
O Cavaleiro dos sete Reinos,G. R. R. Martin,,,Capa dura,Bom,SIM,Sim
"""1984""",George Orwell,,,Brochura,Bom,SIM,Sim
A Revolução dos Bichos,George Orwell,,,Brochura,Bom,SIM,Sim
Na Pior em Paris e Londres,George Orwell,,,Brochura,Bom,NÂO,Sim
Guerra Dos Mundos,H. G. Wells,,,Pocket,Ruim,NÂO,Sim
A Máquina do Tempo ,H. G. Wells,,,Capa dura,Bom,NÂO,Sim
A Cor Que Caiu do Espaço,H. P. Lovecraft,,,Brochura,Bom,SIM,Sim
Sussurros na Escuridão,H. P. Lovecraft,,,Brochura,Bom,SIM,Sim
O Chamado de Cthulhu,H. P. Lovecraft,,,Brochura,Médio,SIM,Sim
Rum: Diário de um Jornalista Bêbado,Hunter S. Thompson,,,Brochura,Bom,SIM,Sim
Medo e Delírio em Las Vegas,Hunter S. Thompson,,,,Bom,SIM,Sim
Harry Potter e a Pedra Filosofal,J. K. Rowling,,,Brochura,Bom,NÂO,Sim
Harry Potter e a Câmara Secreta,J. K. Rowling,,,Brochura,Bom,NÂO,Sim
Harry Potter e o Cálice de Fogo,J. K. Rowling,,,Brochura,Bom,NÂO,Sim
Harry Potter e o Prisioneiro de Azkaban,J. K. Rowling,,,Brochura,Bom,NÂO,Sim
Harry Potter e a Ordem da Fênix,J. K. Rowling,,,Brochura,Ruim,NÂO,Sim
Harry Potter e as Relíquias da Morte,J. K. Rowling,,,Brochura,Bom,NÂO,Sim
Harry Potter e o Enigma do Príncipe,J. K. Rowling,,,Brochura,Bom,NÂO,Sim
O Senhor dos Anéis: A sociedade do Anel,J. R. R. Tolkien,,,Capa dura,Bom,SIM,Sim
O Senhor dos Anéis: As duas Torres,J. R. R. Tolkien,,,Capa dura,Bom,SIM,Sim
O Senhor dos Anéis: O Retorno do Rei,J. R. R. Tolkien,,,Capa dura,Bom,SIM,Sim
O Hobbit,J. R. R. Tolkien,,,Capa dura,Bom,NÂO,Sim
